Country,ListYearPerson_2011,ListYearPerson_2021,ListYearPerson_2030,ListYearPerson_2045,ListYearPersonPrevalence_2011,ListYearPersonPrevalence_2021,ListYearPersonPrevalence_2030,ListYearPersonPrevalence_2045,IGT_2011,IGT_2021,IGT_2030,IGT_2045,IGTPrevalence_2011,IGTPrevalence_2021,IGTPrevalence_2030,IGTPrevalence_2045,IFG_2011,IFG_2021,IFG_2030,IFG_2045,IFGPrevalence_2011,IFGPrevalence_2021,IFGPrevalence_2030,IFGPrevalence_2045,Money20-79_2021,Money20-79_2030,Money20-79_2045,PersonMoney_2021,PersonMoney_2030,PersonMoney_2045
Afghanistan,818.3,1606.7,2172.8,3530.7,7.6,10.9,11.0,11.3,819.8,1293.7,1792.2,2886.8,7.2,8.3,8.7,9.0,0,756.1,1048.3,1617.2,0,4.6,4.7,4.7,229.9,306.0,452.8,143.1,190.4,281.8
Albania,64.1,241.1,261.4,258.2,2.8,10.2,10.2,10.9,212.5,160.5,160.3,146.8,9.5,7.3,7.5,7.7,0,45.0,48.5,47.0,0,1.7,2.0,2.1,163.0,179.2,166.1,676.1,743.3,689.1
Algeria,1435.1,2013.0,2527.5,3497.9,7.0,7.1,7.6,8.1,1186.8,1590.6,1964.9,2558.0,5.7,5.2,5.5,5.6,0,2966.9,3610.5,4775.0,0,9.8,10.1,10.4,1736.8,2092.9,2533.0,862.8,1039.7,1258.3
American Samoa,0.0,7.8,8.4,8.9,0.0,20.3,21.7,23.1,0.0,2.6,2.8,2.9,0.0,8.2,7.9,8.2,0,5.3,5.4,5.5,0,13.5,13.2,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,4.8,8.0,8.7,8.9,5.4,9.7,11.0,11.9,6.0,6.1,6.4,6.5,7.5,8.4,8.4,9.4,0,2.0,2.1,2.0,0,2.8,3.1,3.2,24.6,25.1,23.5,3063.9,3121.4,2927.2
Angola,185.3,584.5,830.4,1453.6,2.9,4.6,4.9,5.0,628.9,1031.7,1498.8,2619.7,9.1,6.9,7.2,7.4,0,1419.6,2039.1,3587.8,0,9.6,10.0,10.1,303.8,427.4,718.1,519.8,731.4,1228.6
Anguilla,185.3,0.0,0.0,0.0,2.9,0.0,0.0,0.0,628.9,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,7.3,8.5,10.2,11.7,12.5,11.7,13.2,14.1,6.3,3.9,4.6,5.2,11.0,5.3,5.8,6.2,0,5.0,5.7,6.6,0,9.9,10.5,10.5,8.7,9.7,9.9,1015.8,1129.7,1161.9
Argentina,1531.8,1806.8,2086.0,2552.0,5.5,5.4,6.1,6.4,1699.1,3611.6,4058.9,4751.8,6.2,11.8,12.4,12.7,0,4400.1,4963.9,5826.8,0,9.9,10.3,10.5,2566.4,2860.0,3258.1,1420.4,1582.9,1803.2
Armenia,191.7,133.6,153.6,155.4,8.5,5.6,6.4,6.8,169.4,71.2,75.1,69.4,7.6,3.5,3.9,3.9,0,51.5,56.1,56.9,0,2.3,2.4,2.5,156.8,195.2,174.3,1174.3,1462.5,1305.3
Aruba,11.7,4.1,3.9,3.7,12.4,4.3,4.6,4.6,9.6,5.2,5.6,5.2,10.9,5.3,5.8,6.2,0,8.0,8.6,8.6,0,9.9,10.3,10.5,0.0,0.0,0.0,0.0,0.0,0.0
Australia,1292.1,1491.8,1693.0,1935.2,6.6,6.4,7.4,8.0,1585.8,1904.0,2129.1,2413.8,8.6,8.8,9.7,10.2,0,1071.2,1161.9,1312.8,0,4.5,4.6,4.6,8867.1,9588.0,10405.7,5944.0,6427.3,6975.4
Austria,571.0,447.1,477.6,497.3,6.6,4.6,5.3,5.8,573.9,1387.0,1436.2,1443.8,7.3,16.7,17.9,18.7,0,179.0,184.7,179.5,0,2.2,2.4,2.5,2939.3,3031.0,2894.2,6574.7,6779.7,6473.8
Azerbaijan,167.1,397.1,499.3,573.6,2.8,5.6,6.4,6.8,591.5,236.5,268.9,272.5,9.5,3.5,3.9,4.2,0,166.6,195.2,217.4,0,2.3,2.4,2.5,191.6,247.7,265.8,482.4,623.9,669.3
Bahamas,28.8,25.6,31.2,36.9,12.1,8.8,10.0,10.6,25.2,14.8,18.0,21.2,10.6,5.3,5.8,6.2,0,38.0,44.2,50.4,0,9.9,10.5,10.5,63.8,71.8,77.6,2496.6,2808.8,3037.8
Bahrain,150.8,119.8,156.8,210.2,19.5,11.3,11.9,12.6,140.6,201.9,255.0,321.2,16.3,12.9,13.5,13.7,0,166.4,198.4,230.1,0,8.8,8.9,8.9,158.7,201.7,237.2,1324.9,1683.3,1980.0
Bangladesh,8405.6,13136.3,16822.0,22294.1,10.5,14.2,15.0,15.3,2141.1,5011.4,6395.6,8500.5,2.8,5.5,5.7,5.9,0,17550.3,21403.2,26456.4,0,18.1,18.2,18.3,1005.4,1174.7,1390.0,76.5,89.4,105.8
Barbados,29.1,38.8,42.6,41.6,12.4,14.0,16.1,17.3,24.0,13.5,14.6,14.2,10.9,5.3,5.8,6.2,0,9.4,9.9,9.5,0,4.0,4.3,4.4,43.0,43.6,39.9,1106.4,1122.8,1028.1
Belarus,676.6,483.0,526.6,481.9,8.0,5.6,6.4,6.8,802.0,184.6,179.0,150.0,10.1,3.5,3.9,4.2,0,187.5,192.4,176.3,0,2.3,2.4,2.5,494.3,583.0,498.0,1023.5,1207.3,1031.1
Belgium,514.9,404.9,437.9,442.6,4.8,3.6,4.1,4.4,753.0,1599.3,1667.7,1676.1,7.6,15.8,16.9,17.6,0,484.6,510.8,511.8,0,4.9,5.3,5.5,2604.6,2666.5,2552.6,6433.2,6568.2,6304.9
Belize,24.5,32.2,42.5,58.8,17.0,14.5,15.7,16.4,15.8,10.5,14.1,20.4,10.8,5.0,5.5,5.8,0,19.6,25.5,34.8,0,8.7,9.0,9.1,26.7,32.6,40.5,830.5,1013.2,1259.6
Benin,70.6,50.4,71.5,123.7,2.0,1.1,1.2,1.2,440.1,569.0,741.0,1178.4,11.7,11.3,11.5,11.9,0,291.4,401.5,647.1,0,4.9,4.9,4.8,9.2,12.8,21.4,181.6,253.8,424.5
Bermuda,6.5,6.9,6.8,6.1,12.0,13.0,14.1,14.8,5.3,5.9,5.9,5.3,10.5,11.6,12.5,13.0,0,3.8,3.7,3.4,0,8.1,8.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,21.5,44.8,59.5,84.2,5.7,10.4,11.2,11.6,11.8,24.9,31.6,41.6,3.0,5.5,5.7,5.9,0,38.8,45.1,54.6,0,7.8,8.2,8.3,8.7,10.7,12.3,194.7,239.4,274.4
Bolivia (Plurinational State of),303.3,395.9,502.4,722.8,6.6,5.5,6.1,6.4,347.2,503.1,615.1,826.2,7.1,7.3,8.0,8.4,0,809.0,1006.3,1358.9,0,9.9,10.3,10.5,355.9,427.3,558.3,898.8,1079.3,1410.2
Bosnia and Herzegovina,264.9,305.9,322.3,295.8,7.5,9.1,10.2,10.9,306.5,200.2,199.5,171.7,9.5,7.3,7.5,7.7,0,58.8,62.2,56.0,0,1.7,2.0,2.1,344.2,370.0,329.4,1125.2,1209.7,1076.7
Botswana,93.9,69.1,95.6,148.5,10.8,5.2,5.9,6.3,84.0,102.8,135.2,190.6,8.8,6.9,7.2,7.4,0,60.9,80.1,114.6,0,4.2,4.4,4.5,149.0,193.0,259.9,2155.3,2792.3,3759.4
Brazil,12440.0,15733.6,19224.1,23223.6,10.1,8.8,10.2,10.9,5354.5,17774.9,20249.9,22468.8,4.3,10.8,11.4,11.7,0,21425.6,24361.5,26930.1,0,9.9,10.3,10.5,42928.5,48308.7,51441.2,2728.5,3070.4,3269.5
British Virgin Islands,1.3,1.9,3.1,3.4,8.6,8.7,14.1,14.8,1.6,2.4,2.7,3.0,10.9,11.6,12.5,13.0,0,1.7,1.8,1.9,0,8.1,8.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,19.3,35.0,42.0,47.3,9.4,11.1,11.8,12.0,28.8,49.2,56.9,63.7,11.9,15.5,15.9,16.0,0,7.3,9.3,11.5,0,2.5,2.9,2.9,31.5,34.1,32.8,901.3,975.2,938.7
Bulgaria,531.6,519.3,492.1,436.6,6.7,7.4,8.3,8.7,126.2,88.3,83.3,73.9,1.7,1.4,1.6,1.7,0,147.1,138.3,119.6,0,2.3,2.4,2.5,982.7,915.6,796.3,1892.4,1763.3,1533.5
Burkina Faso,175.1,164.4,230.7,389.5,3.0,2.1,2.2,2.3,662.4,866.9,1165.7,1958.2,10.1,11.3,11.5,11.9,0,410.6,585.6,992.8,0,4.8,4.7,4.7,31.6,43.9,72.7,192.3,267.2,442.2
Burundi,94.2,223.1,355.5,637.8,2.7,6.5,7.3,7.4,326.2,581.7,844.5,1535.4,8.4,19.2,21.2,22.5,0,269.6,431.6,743.8,0,6.7,7.4,7.4,22.9,33.4,55.0,102.5,149.6,246.7
Cabo Verde,13.1,7.3,9.6,12.1,5.4,2.1,2.2,2.3,21.1,35.4,43.4,56.4,8.8,11.3,11.5,11.9,0,19.7,23.2,27.5,0,4.9,4.8,4.8,6.7,8.1,8.4,912.1,1108.9,1143.1
Cambodia,199.4,596.0,776.2,1094.6,2.9,7.3,8.2,8.6,720.2,633.2,774.9,1023.6,9.7,7.3,7.6,7.8,0,200.0,247.0,326.0,0,2.2,2.3,2.4,155.8,200.7,253.9,261.5,336.8,426.0
Cameroon,501.4,620.8,877.2,1484.5,6.1,5.5,5.9,6.0,693.2,1229.0,1609.3,2548.1,8.7,11.3,11.5,11.9,0,680.2,931.7,1469.1,0,4.9,4.8,4.8,177.7,242.2,376.6,286.2,390.1,606.7
Canada,2716.1,2974.0,3288.2,3468.5,8.4,7.7,8.9,9.6,3066.4,3710.1,4040.4,4273.8,10.6,10.9,11.9,12.4,0,2484.0,2625.4,2807.5,0,8.1,8.4,8.5,14284.1,14905.9,15259.4,4802.9,5012.0,5130.8
Cayman Islands,4.4,6.1,7.2,8.8,12.0,13.0,14.1,14.8,3.8,5.3,6.3,7.6,10.5,11.6,12.5,13.0,0,3.7,4.2,4.9,0,8.1,8.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0
